stream,published,sent,applied,stale_dropped,unknown_ms,aoi_mean_ms,aoi_area_ms2,aoi_peak_ms,final_age_ms,over_threshold_ms
0,300,167,100,0,30,472.761,14168640.0,1952,1099,0
1,300,170,109,0,40,513.069,15371550.0,2248,1286,376
2,300,156,97,0,60,486.084,14553360.0,1926,1071,0
3,300,166,103,0,70,482.420,14438840.0,1916,1069,0
4,300,176,116,0,380,523.260,15498960.0,2243,1048,243
5,300,174,115,0,90,458.778,13722060.0,1921,1032,0
6,300,163,100,0,410,528.411,15635690.0,2229,1035,229
7,300,156,85,0,420,637.663,18862080.0,2510,1803,510
