stream,published,sent,applied,stale_dropped,unknown_ms,aoi_mean_ms,aoi_area_ms2,aoi_peak_ms,final_age_ms,over_threshold_ms
0,300,167,103,0,320,424.988,12613650.0,1636,1110,0
1,300,173,113,0,40,466.130,13965260.0,1923,1295,0
2,300,163,97,0,50,552.890,16559060.0,2547,1076,547
3,300,171,105,0,360,509.652,15106080.0,2227,1453,227
4,300,164,98,0,70,496.046,14846660.0,1957,1052,0
5,300,165,102,0,80,479.958,14360330.0,1948,1031,0
6,300,149,82,0,400,597.877,17697170.0,2244,1027,244
7,300,166,106,0,120,540.530,16151050.0,2221,1903,221
