t,dir,outcome,err,stream,seq,id,gen_time,on_time
20780,DATA,STATE_APPLIED,OK,1,42,0,20751,0
20800,ACK,ACK_STATE,OK,1,42,0,0,0
21020,DATA,STATE_APPLIED,OK,0,22,0,21000,0
21040,ACK,ACK_STATE,OK,0,22,0,0,0
21320,DATA,STATE_APPLIED,OK,1,43,0,21293,0
21340,ACK,ACK_STATE,OK,1,43,0,0,0
21770,DATA,STATE_APPLIED,OK,1,44,0,21746,0
21790,ACK,ACK_STATE,OK,1,44,0,0,0
22020,DATA,STATE_APPLIED,OK,0,23,0,22000,0
22040,ACK,ACK_STATE,OK,0,23,0,0,0
22300,DATA,STATE_APPLIED,OK,1,45,0,22272,0
22320,ACK,ACK_STATE,OK,1,45,0,0,0
22750,DATA,STATE_APPLIED,OK,1,46,0,22721,0
22770,ACK,ACK_STATE,OK,1,46,0,0,0
23020,DATA,STATE_APPLIED,OK,0,24,0,23000,0
23040,ACK,ACK_STATE,OK,0,24,0,0,0
23290,DATA,STATE_APPLIED,OK,1,47,0,23265,0
23310,ACK,ACK_STATE,OK,1,47,0,0,0
23750,DATA,STATE_APPLIED,OK,1,48,0,23723,0
23770,ACK,ACK_STATE,OK,1,48,0,0,0
24020,DATA,STATE_APPLIED,OK,0,25,0,24000,0
24040,ACK,ACK_STATE,OK,0,25,0,0,0
24290,DATA,STATE_APPLIED,OK,1,49,0,24267,0
24310,ACK,ACK_STATE,OK,1,49,0,0,0
24720,DATA,STATE_APPLIED,OK,1,50,0,24700,0
24740,ACK,ACK_STATE,OK,1,50,0,0,0
25020,DATA,STATE_APPLIED,OK,0,26,0,25000,0
25040,ACK,ACK_STATE,OK,0,26,0,0,0
25230,DATA,STATE_APPLIED,OK,1,51,0,25208,0
25250,ACK,ACK_STATE,OK,1,51,0,0,0
25800,DATA,STATE_APPLIED,OK,1,52,0,25773,0
25820,ACK,ACK_STATE,OK,1,52,0,0,0
26020,DATA,STATE_APPLIED,OK,0,27,0,26000,0
26040,ACK,ACK_STATE,OK,0,27,0,0,0
26290,DATA,STATE_APPLIED,OK,1,53,0,26268,0
26310,ACK,ACK_STATE,OK,1,53,0,0,0
26780,DATA,STATE_APPLIED,OK,1,54,0,26756,0
26800,ACK,ACK_STATE,OK,1,54,0,0,0
