id,kind,code,gen_time,deadline_abs,retention_abs,admitted,outcome,terminal_time,attempts,first_tx_time,rx_first_time,rx_on_time,rx_latency_ms,rx_dups,rx_oow
1,RAISE,9,4510,5510,14510,1,ACKED,4550,1,4510,4530,1,20,0,0
2,CLEAR,9,5438,6438,15438,1,ACKED,5480,1,5440,5460,1,22,0,0
3,RAISE,8,8584,9584,18584,1,ACKED,8630,1,8590,8610,1,26,0,0
4,CLEAR,8,9463,10463,19463,1,ACKED,10110,3,9470,10090,1,627,0,0
5,RAISE,10,10419,11419,20419,1,ACKED,11360,4,10420,11340,1,921,0,0
6,RAISE,2,10628,11628,20628,1,ACKED,11570,4,10630,11550,1,922,0,0
7,RAISE,4,10744,11744,20744,1,ACKED,11390,3,10750,11370,1,626,0,0
8,CLEAR,4,11341,12341,21341,1,ACKED,11400,1,11360,11380,1,39,0,0
9,CLEAR,2,11606,12606,21606,1,ACKED,11650,1,11610,11630,1,24,0,0
10,CLEAR,10,11874,12874,21874,1,ACKED,11920,1,11880,11900,1,26,0,0
11,RAISE,5,14476,15476,24476,1,ACKED,14520,1,14480,14500,1,24,0,0
12,RAISE,1,15211,16211,25211,1,ACKED,15260,1,15220,15240,1,29,0,0
13,CLEAR,1,15596,16596,25596,1,ACKED,15640,1,15600,15620,1,24,0,0
14,CLEAR,5,15859,16859,25859,1,ACKED,15900,1,15860,15880,1,21,0,0
15,RAISE,6,17858,18858,27858,1,ACKED,17900,1,17860,17880,1,22,0,0
16,CLEAR,6,19014,20014,29014,1,ACKED,19060,1,19020,19040,1,26,0,0
17,RAISE,3,19990,20990,29990,1,ACKED,20030,1,19990,20010,1,20,0,0
18,CLEAR,3,21166,22166,31166,1,ACKED,21210,1,21170,21190,1,24,0,0
19,RAISE,7,24815,25815,34815,1,ACKED,24860,1,24820,24840,1,25,0,0
20,CLEAR,7,26224,27224,36224,1,ACKED,26570,2,26230,26550,1,326,0,0
