stream,published,sent,applied,stale_dropped,unknown_ms,aoi_mean_ms,aoi_area_ms2,aoi_peak_ms,final_age_ms,over_threshold_ms
0,30,44,24,0,20,1222.475,36649800.0,7030,1000,5030
1,60,68,48,0,230,941.464,28027370.0,6575,220,4575
