stream,published,sent,applied,stale_dropped,unknown_ms,aoi_mean_ms,aoi_area_ms2,aoi_peak_ms,final_age_ms,over_threshold_ms
0,60,71,47,1,50,1079.713,32337410.0,7222,491,5222
1,60,70,47,0,130,1139.193,34027690.0,7462,415,5462
2,60,71,47,1,240,1136.417,33819780.0,7436,219,5436
3,60,70,47,0,360,1144.038,33909280.0,7447,96,5447
