id,kind,code,gen_time,deadline_abs,retention_abs,admitted,outcome,terminal_time,attempts,first_tx_time,rx_first_time,rx_on_time,rx_latency_ms,rx_dups,rx_oow
1,RAISE,2,10628,11628,20628,1,ACKED,10670,1,10630,10650,1,22,0,0
2,RAISE,4,10744,11744,20744,1,ACKED,11090,2,10750,10770,1,26,1,0
3,CLEAR,4,11341,12341,21341,1,ACKED,11390,1,11350,11370,1,29,0,0
4,CLEAR,2,11606,12606,21606,1,ACKED,11650,1,11610,11630,1,24,0,0
5,RAISE,5,14476,15476,24476,1,ACKED,14520,1,14480,14500,1,24,0,0
6,RAISE,1,15211,16211,25211,1,ACKED,15560,2,15220,15240,1,29,1,0
7,CLEAR,1,15596,16596,25596,1,ACKED,15640,1,15600,15620,1,24,0,0
8,CLEAR,5,15859,16859,25859,1,ACKED,16500,3,15860,15880,1,21,2,0
9,RAISE,6,17858,18858,27858,1,ACKED,17900,1,17860,17880,1,22,0,0
10,CLEAR,6,19014,20014,29014,1,ACKED,19360,2,19020,19040,1,26,1,0
11,RAISE,3,19990,20990,29990,1,ACKED,20030,1,19990,20010,1,20,0,0
12,CLEAR,3,21166,22166,31166,1,ACKED,21210,1,21170,21190,1,24,0,0
