id,kind,code,gen_time,deadline_abs,retention_abs,admitted,outcome,terminal_time,attempts,first_tx_time,rx_first_time,rx_on_time,rx_latency_ms,rx_dups,rx_oow
1,RAISE,1,10000,11000,27000,1,ACKED,15140,18,10000,15120,0,5120,0,0
2,CLEAR,1,12000,13000,29000,1,ACKED,15050,11,12010,15030,0,3030,0,0
