stream,published,sent,applied,stale_dropped,unknown_ms,aoi_mean_ms,aoi_area_ms2,aoi_peak_ms,final_age_ms,over_threshold_ms
0,300,165,101,0,30,494.911,14832490.0,1939,1098,0
1,300,167,102,0,40,538.402,16130520.0,1920,1388,0
2,300,178,116,0,60,447.855,13408770.0,1910,1266,0
3,300,162,94,0,70,620.513,18571940.0,2535,1063,1052
4,300,162,98,0,380,468.618,13880460.0,1931,1244,0
5,300,165,103,0,390,567.530,16804560.0,2546,1344,546
6,300,158,94,0,100,568.577,17000460.0,2221,1531,437
7,300,154,88,0,110,528.911,15809150.0,1914,1107,0
