stream,published,sent,applied,stale_dropped,unknown_ms,aoi_mean_ms,aoi_area_ms2,aoi_peak_ms,final_age_ms,over_threshold_ms
0,300,167,105,0,20,493.316,14789610.0,1938,1092,0
1,300,152,87,0,50,501.994,15034720.0,1845,1081,0
2,300,165,99,0,40,523.984,15698560.0,1926,1074,0
3,300,166,97,0,370,472.643,14004420.0,2232,1070,232
4,300,154,90,0,80,578.799,17317680.0,2525,1041,525
5,300,162,96,0,90,456.128,13642800.0,1622,1046,0
6,300,164,102,0,100,480.105,14355150.0,1828,1029,0
7,300,169,102,0,110,543.188,16235900.0,1932,1112,0
