stream,published,sent,applied,stale_dropped,unknown_ms,aoi_mean_ms,aoi_area_ms2,aoi_peak_ms,final_age_ms,over_threshold_ms
0,300,162,95,0,30,485.600,14553420.0,1926,1099,0
1,300,171,109,0,40,482.165,14445650.0,2128,1286,128
2,300,156,91,0,60,531.419,15910680.0,2235,1368,235
3,300,159,95,0,70,511.339,15304370.0,2443,1069,443
4,300,177,117,0,380,508.760,15069460.0,2243,1048,243
5,300,170,107,0,90,541.398,16193220.0,2245,1838,245
6,300,162,98,0,410,544.558,16113480.0,2240,1035,240
7,300,160,95,0,420,528.702,15639010.0,1936,1019,0
