id,kind,code,gen_time,deadline_abs,retention_abs,admitted,outcome,terminal_time,attempts,first_tx_time,rx_first_time,rx_on_time,rx_latency_ms,rx_dups,rx_oow
1,RAISE,2,1190,1590,4190,1,ACKED,1530,2,1190,1510,1,320,0,0
2,RAISE,2,1228,1628,4228,1,ACKED,1270,1,1230,1250,1,22,0,0
3,RAISE,1,3210,3610,6210,1,ACKED,3250,1,3210,3230,1,20,0,0
4,CLEAR,1,3700,4100,6700,1,ACKED,4040,2,3700,4020,1,320,0,0
5,RAISE,2,4965,5365,7965,1,ACKED,5010,1,4970,4990,1,25,0,0
6,RAISE,1,6210,6610,9210,1,ACKED,6250,1,6210,6230,1,20,0,0
7,CLEAR,1,6700,7100,9700,1,ACKED,6740,1,6700,6720,1,20,0,0
8,RAISE,1,9210,9610,12210,1,ACKED,9250,1,9210,9230,1,20,0,0
9,CLEAR,1,9700,10100,12700,1,ACKED,9740,1,9700,9720,1,20,0,0
10,RAISE,2,10538,10938,13538,1,ACKED,10580,1,10540,10560,1,22,0,0
11,RAISE,1,12210,12610,15210,1,ACKED,12250,1,12210,12230,1,20,0,0
12,RAISE,2,12241,12641,15241,1,ACKED,12910,3,12250,12890,0,649,0,0
13,RAISE,2,12528,12928,15528,1,ACKED,12870,2,12530,12850,1,322,0,0
14,CLEAR,1,12700,13100,15700,1,ACKED,12740,1,12700,12720,1,20,0,0
15,RAISE,2,12859,13259,15859,1,ACKED,12900,1,12860,12880,1,21,0,0
16,RAISE,2,13360,13760,16360,1,ACKED,13400,1,13360,13380,1,20,0,0
17,RAISE,1,15210,15610,18210,1,ACKED,15550,2,15210,15230,1,20,1,0
18,CLEAR,1,15700,16100,18700,1,ACKED,16040,2,15700,15720,1,20,1,0
19,RAISE,2,15837,16237,18837,1,ACKED,15880,1,15840,15860,1,23,0,0
20,RAISE,2,16413,16813,19413,1,ACKED,16760,2,16420,16740,1,327,0,0
21,RAISE,1,18210,18610,21210,1,ACKED,18250,1,18210,18230,1,20,0,0
22,RAISE,2,18506,18906,21506,1,ACKED,18550,1,18510,18530,1,24,0,0
23,CLEAR,1,18700,19100,21700,1,ACKED,18740,1,18700,18720,1,20,0,0
24,RAISE,2,18889,19289,21889,1,ACKED,18930,1,18890,18910,1,21,0,0
25,RAISE,2,19516,19916,22516,1,ACKED,19560,1,19520,19540,1,24,0,0
26,RAISE,1,21210,21610,24210,1,ACKED,21250,1,21210,21230,1,20,0,0
27,RAISE,2,21497,21897,24497,1,ACKED,22140,3,21500,22120,0,623,0,0
28,CLEAR,1,21700,22100,24700,1,ACKED,21740,1,21700,21720,1,20,0,0
29,RAISE,2,21937,22337,24937,1,ACKED,21980,1,21940,21960,1,23,0,0
30,RAISE,2,22510,22910,25510,1,ACKED,22550,1,22510,22530,1,20,0,0
31,RAISE,1,24210,24610,27210,1,ACKED,24250,1,24210,24230,1,20,0,0
32,CLEAR,1,24700,25100,27700,1,ACKED,24740,1,24700,24720,1,20,0,0
33,RAISE,2,25743,26143,28743,1,ACKED,25790,1,25750,25770,1,27,0,0
34,RAISE,1,27210,27610,30210,1,ACKED,27250,1,27210,27230,1,20,0,0
35,CLEAR,1,27700,28100,30700,1,ACKED,27740,1,27700,27720,1,20,0,0
36,RAISE,2,28072,28472,31072,1,ACKED,28420,2,28080,28400,1,328,0,0
37,RAISE,2,28766,29166,31766,1,ACKED,28810,1,28770,28790,1,24,0,0
38,RAISE,2,28825,29225,31825,1,PENDING,-,4,28830,-,-,-,0,0
