stream,published,sent,applied,stale_dropped,unknown_ms,aoi_mean_ms,aoi_area_ms2,aoi_peak_ms,final_age_ms,over_threshold_ms
0,300,168,104,0,30,531.386,15925650.0,2437,1095,437
1,300,160,92,0,40,585.089,17529270.0,2532,1189,753
2,300,175,111,0,50,492.281,14743830.0,2230,1085,230
3,300,166,102,0,60,509.867,15265420.0,1933,1054,0
4,300,161,96,0,380,548.546,16247940.0,2839,1258,839
5,300,165,99,0,100,445.327,13315290.0,1926,1044,0
6,300,162,100,0,110,532.965,15930320.0,1918,1616,0
7,300,178,122,0,120,446.883,13352860.0,1636,1103,0
