stream,published,sent,applied,stale_dropped,unknown_ms,aoi_mean_ms,aoi_area_ms2,aoi_peak_ms,final_age_ms,over_threshold_ms
0,120,62,62,0,40,566.802,16981390.0,2517,250,643
1,120,65,65,0,80,564.853,16900390.0,2515,176,714
2,120,66,65,0,140,569.925,17017960.0,2457,105,652
3,120,64,62,0,210,573.586,17087140.0,2532,57,721
