stream,published,sent,applied,stale_dropped,unknown_ms,aoi_mean_ms,aoi_area_ms2,aoi_peak_ms,final_age_ms,over_threshold_ms
0,300,166,104,0,320,435.911,12937850.0,1908,1908,0
1,300,175,119,0,40,422.628,12661940.0,1645,1295,0
2,300,164,98,0,50,518.887,15540660.0,1923,1076,0
3,300,167,103,0,360,508.921,15084430.0,2227,1453,227
4,300,178,119,0,70,429.520,12855530.0,1937,1052,0
5,300,159,91,0,80,543.325,16256290.0,2014,1031,14
6,300,145,75,0,400,631.591,18695100.0,2244,1027,381
7,300,165,105,0,120,462.276,13812810.0,1632,1118,0
