stream,published,sent,applied,stale_dropped,unknown_ms,aoi_mean_ms,aoi_area_ms2,aoi_peak_ms,final_age_ms,over_threshold_ms
0,300,173,110,0,30,451.828,13541280.0,1952,1099,0
1,300,164,100,0,40,503.427,15082670.0,2128,1286,128
2,300,162,98,0,60,522.740,15650840.0,2235,1368,235
3,300,162,100,0,70,465.627,13936210.0,1916,1069,0
4,300,173,115,0,380,515.780,15277400.0,2243,1048,243
5,300,173,113,0,90,459.646,13748020.0,1921,1032,0
6,300,162,95,0,410,567.046,16778900.0,2240,1533,240
7,300,160,92,0,420,598.743,17710820.0,2510,1019,510
