stream,published,sent,applied,stale_dropped,unknown_ms,aoi_mean_ms,aoi_area_ms2,aoi_peak_ms,final_age_ms,over_threshold_ms
0,300,171,107,0,30,438.593,13144620.0,1675,1099,0
1,300,168,105,0,40,503.827,15094650.0,2128,1286,128
2,300,156,97,0,60,485.988,14550480.0,1926,1071,0
3,300,167,105,0,70,476.499,14261630.0,1916,1069,0
4,300,176,116,0,380,543.753,16105950.0,2533,1048,533
5,300,173,113,0,90,461.161,13793330.0,1921,1032,0
6,300,161,99,0,410,530.604,15700580.0,2229,1035,229
7,300,160,90,0,420,616.921,18248520.0,2510,1803,510
