stream,published,sent,applied,stale_dropped,unknown_ms,aoi_mean_ms,aoi_area_ms2,aoi_peak_ms,final_age_ms,over_threshold_ms
0,120,41,41,0,40,4472.244,133988430.0,15555,250,16363
1,120,42,42,0,80,4431.145,132579850.0,15484,176,16223
2,120,43,42,0,140,4276.727,127703070.0,15480,105,14529
3,120,42,40,0,210,4443.280,132365310.0,15421,57,16287
