stream,published,sent,applied,stale_dropped,unknown_ms,aoi_mean_ms,aoi_area_ms2,aoi_peak_ms,final_age_ms,over_threshold_ms
0,150,148,146,0,200,213.384,6358850.0,725,203,0
1,150,146,145,0,80,218.217,6529060.0,659,136,0
2,150,145,144,0,290,232.659,6912300.0,839,107,0
3,150,147,144,0,170,225.076,6714020.0,729,254,0
