stream,published,sent,applied,stale_dropped,unknown_ms,aoi_mean_ms,aoi_area_ms2,aoi_peak_ms,final_age_ms,over_threshold_ms
0,300,165,101,0,20,481.557,14437090.0,1940,1092,0
1,300,158,95,0,50,492.232,14742350.0,1919,1081,0
2,300,157,89,0,40,590.637,17695470.0,2132,1074,132
3,300,171,105,0,370,432.589,12817610.0,1642,1070,0
4,300,154,89,0,80,578.337,17303830.0,2525,1041,525
5,300,159,93,0,90,474.116,14180820.0,1956,1046,0
6,300,168,109,0,100,455.676,13624700.0,1828,1029,0
7,300,166,101,0,110,539.804,16134740.0,1948,1112,0
