stream,published,sent,applied,stale_dropped,unknown_ms,aoi_mean_ms,aoi_area_ms2,aoi_peak_ms,final_age_ms,over_threshold_ms
0,300,167,104,0,320,415.329,12326960.0,1635,1110,0
1,300,172,112,0,40,467.339,14001470.0,1923,1295,0
2,300,163,96,0,50,558.149,16716550.0,2547,1076,547
3,300,170,106,0,360,517.222,15330450.0,2227,1453,227
4,300,166,101,0,70,494.002,14785490.0,1957,1052,0
5,300,165,102,0,80,480.022,14362250.0,1948,1031,0
6,300,146,79,0,400,626.727,18551110.0,2244,1027,381
7,300,172,114,0,120,489.920,14638810.0,1903,1903,0
