id,kind,code,gen_time,deadline_abs,retention_abs,admitted,outcome,terminal_time,attempts,first_tx_time,rx_first_time,rx_on_time,rx_latency_ms,rx_dups,rx_oow
1,RAISE,1,10000,11000,27000,1,RETRY_EXHAUSTED,12400,8,10000,-,-,-,0,0
2,CLEAR,1,12000,13000,29000,1,RETRY_EXHAUSTED,14400,8,12000,-,-,-,0,0
