stream,published,sent,applied,stale_dropped,unknown_ms,aoi_mean_ms,aoi_area_ms2,aoi_peak_ms,final_age_ms,over_threshold_ms
0,120,49,49,0,20,1071.528,32124400.0,5095,263,6010
1,120,51,49,0,70,1164.164,34843420.0,5241,170,6333
2,120,50,50,0,130,1099.303,32836190.0,5101,130,5903
3,120,50,50,0,210,1126.471,33557580.0,5267,47,6023
