id,kind,code,gen_time,deadline_abs,retention_abs,admitted,outcome,terminal_time,attempts,first_tx_time,rx_first_time,rx_on_time,rx_latency_ms,rx_dups,rx_oow
1,RAISE,4,2937,3937,12937,1,ACKED,3160,1,2940,2960,1,23,0,0
2,CLEAR,4,4140,5140,14140,1,ACKED,4360,1,4140,4340,1,200,0,0
3,RAISE,6,5891,6891,15891,1,ACKED,6240,2,5900,5920,1,29,1,0
4,RAISE,5,5943,6943,15943,1,ACKED,5990,1,5950,5970,1,27,0,0
5,RAISE,3,6749,7749,16749,1,ACKED,6970,1,6750,6770,1,21,0,0
6,CLEAR,6,7178,8178,17178,1,ACKED,7220,1,7180,7200,1,22,0,0
7,CLEAR,5,7337,8337,17337,1,ACKED,7380,1,7340,7360,1,23,0,0
8,CLEAR,3,8092,9092,18092,1,ACKED,8140,1,8100,8120,1,28,0,0
9,RAISE,1,16756,17756,26756,1,ACKED,16800,1,16760,16780,1,24,0,0
10,CLEAR,1,17863,18863,27863,1,ACKED,18090,1,17870,17890,1,27,0,0
11,RAISE,2,18201,19201,28201,1,ACKED,18550,2,18210,18410,1,209,1,0
12,CLEAR,2,19625,20625,29625,1,ACKED,19850,1,19630,19830,1,205,0,0
