time_ms,action,a,b,c
6152,RAISE,145,200,1000
6160,RAISE,146,200,1000
6168,RAISE,147,200,1000
6176,RAISE,148,200,1000
6181,STATE,3,24,
6184,RAISE,149,200,1000
6192,RAISE,150,200,1000
6200,RAISE,151,200,1000
6208,RAISE,152,200,1000
6216,RAISE,153,200,1000
6224,RAISE,154,200,1000
6232,RAISE,155,200,1000
6240,RAISE,156,200,1000
