stream,published,sent,applied,stale_dropped,unknown_ms,aoi_mean_ms,aoi_area_ms2,aoi_peak_ms,final_age_ms,over_threshold_ms
0,300,167,103,0,20,494.382,14821570.0,1948,1092,0
1,300,151,86,0,50,504.405,15106930.0,1845,1081,0
2,300,167,102,0,40,510.463,15293460.0,1926,1074,0
3,300,163,93,0,370,475.830,14098840.0,2232,1070,232
4,300,154,90,0,80,578.799,17317680.0,2525,1041,525
5,300,162,96,0,90,456.128,13642800.0,1622,1046,0
6,300,166,105,0,100,466.440,13946550.0,1828,1029,0
7,300,169,103,0,110,530.377,15852970.0,1932,1112,0
