id,kind,code,gen_time,deadline_abs,retention_abs,admitted,outcome,terminal_time,attempts,first_tx_time,rx_first_time,rx_on_time,rx_latency_ms,rx_dups,rx_oow
1,RAISE,2,7374,8374,17374,1,ACKED,7420,1,7380,7400,1,26,0,0
2,CLEAR,2,8848,9848,18848,1,ACKED,9070,1,8850,8870,1,22,0,0
3,RAISE,1,11480,12480,21480,1,ACKED,11700,1,11480,11680,1,200,0,0
4,RAISE,4,11999,12999,21999,1,ACKED,12050,1,12010,12030,1,31,0,0
5,CLEAR,1,12470,13470,22470,1,ACKED,12870,2,12470,12670,1,200,1,0
6,CLEAR,4,13312,14312,23312,1,ACKED,13360,1,13320,13340,1,28,0,0
7,RAISE,5,23913,24913,33913,1,ACKED,23960,1,23920,23940,1,27,0,0
8,CLEAR,5,25007,26007,35007,1,ACKED,25050,1,25010,25030,1,23,0,0
9,RAISE,3,25086,26086,35086,1,ACKED,25320,1,25100,25300,1,214,0,0
10,CLEAR,3,26106,27106,36106,1,ACKED,26330,1,26110,26130,1,24,0,0
11,RAISE,6,26589,27589,36589,1,ACKED,26630,1,26590,26610,1,21,0,0
12,CLEAR,6,26849,27849,36849,1,ACKED,26900,1,26860,26880,1,31,0,0
