stream,published,sent,applied,stale_dropped,unknown_ms,aoi_mean_ms,aoi_area_ms2,aoi_peak_ms,final_age_ms,over_threshold_ms
0,300,173,107,0,30,493.197,14781100.0,1936,1095,0
1,300,172,114,0,40,471.512,14126500.0,2120,1189,120
2,300,157,87,0,50,635.533,19034220.0,2522,1283,768
3,300,170,107,0,60,422.153,12639270.0,1855,1054,0
4,300,157,90,0,380,596.890,17679880.0,2829,1258,1038
5,300,161,92,0,100,486.532,14547320.0,2236,1044,236
6,300,161,96,0,110,527.001,15752070.0,1915,1616,0
7,300,169,111,0,120,522.068,15599390.0,2438,1103,438
